Target,Source,Value
Prrx1,Gpc3,1
Rbp1,Gpc3,1
Col2a1,Gpc3,1
Cxcl12,Gpc3,1
Meis1,Gpc3,1
Glra1,Gpc3,1
Sox9,Gpc3,1
Hmcn1,Gpc3,1
Fzd2,Gpc3,1
P2RY12,Fzd2,1
CD304.NPR1,Fzd2,1
CD309.KDR,Fzd2,1
Rchy1,Fzd2,0.620882465
Mif,Fzd2,0.607745687
Hsbp1,Fzd2,0.604578912
MAdCAM.1,Glra1,0.129734677
CD201.EPCR,Glra1,0.064987001
CD63,Glra1,0.053264028
Slc1a2,Glra1,0.783216621
Hoxb4,Glra1,0.557979924
Msx3,Glra1,0.455985207
CD304.NPR1,Meis1,0.688423677
SiglecH.SIGLEC,Meis1,0.662079175
CD201.EPCR,Meis1,0.659643277
Zfp157,Meis1,0.965644705
Dab2,Meis1,0.735057568
Polr2j,Meis1,0.707955925
CD55,Prrx1,0.55806337
Notch1,Prrx1,0.549158088
P2RY12,Prrx1,0.539926681
Fzd4,Prrx1,0.216919382
Cnn1,Prrx1,0.216343928
Tgfbi,Prrx1,0.213147475
