Source,Target,Value
Six2,Col3a1 ,
Six2,Col1a2 ,
Six2,Vcan ,
Six2,Gpc3 ,
Six2,Lgals1 ,
Six2,Fbn2 ,
Six2,Rbp1 ,
Six2,Col4a1 ,
Six2,Cxcl12,
Six2,PanendothelialCellAntigen,0.178224236
Six2,CD326.Ep.CAM,0.172159643
Six2,NK.1.1.KLRB1,0.151446264
Six2,Alx1,0.582603925
Six2,Crlf1,0.568057662
Six2,Irx2,0.465390676
Fbn2,CD201.EPCR,0.264150626
Fbn2,CD63,0.200296917
Fbn2,NK.1.1.KLRB1,0.172630653
Fbn2,Ccdc34,1
Fbn2,Ildr2,1
Fbn2,Dbx1,1
Vcan,CD201.EPCR,0.266773835
Vcan,CD55,0.208362413
Vcan,Folate.Receptor,0.186161599
Vcan,Col11a1,0.94015253
Vcan,Limch1,0.917411885
Vcan,Aff3,0.796918482
